Rank,Symbol,Name,Country,SmartScore,SmartProb,FundaScore,FundaProb,TechScore,TechProb,SentiScore,SentiProb,RiskScore,RiskProb,Sector,Industry,Accurate,pe,market_cap,perf_week,perf_month,perf_quarter,perf_halfyear,perf_year,perf_ytd,roe,dividend_yield,roi,high_52w,low_52w,avg_volume,beta
<b>546</b>,<b><a href='https://tossinvest.com/stocks/CR/analytics'>CR</a></b>,Crane Co,US,6,40.6%,6,40.1%,9,44.5%,8,43.3%,4,2.3%,Industrials,Machinery,False,33.96,9.82B,<span style='color: green;'>0.82%</span>,<span style='color: green;'>5.56%</span>,<span style='color: red;'>-1.15%</span>,<span style='color: green;'>14.64%</span>,<span style='color: green;'>40.57%</span>,<span style='color: green;'>13.01%</span>,18.94%,0.53%,15.61%,-9.03%,44.75%,262.50K,1.26
<b>547</b>,<b><a href='https://tossinvest.com/stocks/DSGX/analytics'>DSGX</a></b>,Descartes Systems Group Inc,CA,6,40.6%,7,41.6%,9,45.3%,7,41.5%,6,1.0%,Information Technology,Software,False,71.87,9.71B,<span style='color: red;'>-0.42%</span>,<span style='color: red;'>-4.18%</span>,<span style='color: green;'>1.94%</span>,<span style='color: green;'>12.92%</span>,<span style='color: green;'>31.05%</span>,<span style='color: red;'>-0.03%</span>,10.83%,,10.13%,-8.64%,35.01%,235.58K,0.99
<b>548</b>,<b><a href='https://tossinvest.com/stocks/MDT/analytics'>MDT</a></b>,Medtronic Plc,IE,6,40.6%,6,40.3%,5,39.6%,5,38.9%,6,0.9%,Health Care,Health Care Equipment ...,False,26.70,112.76B,<span style='color: red;'>-3.73%</span>,<span style='color: red;'>-0.50%</span>,<span style='color: green;'>0.47%</span>,<span style='color: green;'>4.49%</span>,<span style='color: green;'>6.80%</span>,<span style='color: green;'>10.09%</span>,8.42%,3.07%,5.81%,-5.52%,15.77%,6.78M,0.83
<b>549</b>,<b><a href='https://tossinvest.com/stocks/HQY/analytics'>HQY</a></b>,Healthequity Inc,US,6,40.6%,7,41.5%,9,44.4%,7,41.4%,5,1.7%,Health Care,Health Care Providers ...,False,101.92,9.68B,<span style='color: red;'>-2.44%</span>,<span style='color: green;'>6.66%</span>,<span style='color: green;'>12.87%</span>,<span style='color: green;'>47.54%</span>,<span style='color: green;'>37.43%</span>,<span style='color: green;'>16.44%</span>,4.70%,,2.98%,-3.35%,71.85%,766.00K,0.62
<b>550</b>,<b><a href='https://tossinvest.com/stocks/CHRW/analytics'>CHRW</a></b>,"C.H. Robinson Worldwide, Inc",US,6,40.6%,5,39.5%,8,42.6%,7,41.6%,6,1.3%,Industrials,Air Freight & Logistics,False,26.06,11.92B,<span style='color: green;'>2.94%</span>,<span style='color: red;'>-4.72%</span>,<span style='color: red;'>-8.87%</span>,<span style='color: red;'>-0.62%</span>,<span style='color: green;'>38.99%</span>,<span style='color: red;'>-2.81%</span>,29.65%,2.52%,15.87%,-12.54%,54.49%,1.13M,0.84
<b>551</b>,<b><a href='https://tossinvest.com/stocks/ATR/analytics'>ATR</a></b>,Aptargroup Inc,US,6,40.6%,6,40.4%,5,39.1%,8,42.2%,6,0.9%,Materials,Containers & Packaging,False,26.50,9.75B,<span style='color: green;'>3.51%</span>,<span style='color: red;'>-8.23%</span>,<span style='color: red;'>-11.90%</span>,<span style='color: red;'>-0.20%</span>,<span style='color: green;'>6.68%</span>,<span style='color: red;'>-6.63%</span>,15.68%,1.35%,11.67%,-17.61%,7.88%,320.53K,0.54
<b>552</b>,<b><a href='https://tossinvest.com/stocks/COIN/analytics'>COIN</a></b>,Coinbase Global Inc,US,6,40.6%,7,42.1%,6,39.8%,8,42.3%,4,2.7%,Financials,Capital Markets,False,27.04,65.14B,<span style='color: red;'>-6.66%</span>,<span style='color: red;'>-12.78%</span>,<span style='color: red;'>-16.11%</span>,<span style='color: green;'>25.50%</span>,<span style='color: green;'>42.30%</span>,<span style='color: green;'>3.34%</span>,31.13%,,17.66%,-26.64%,75.60%,10.03M,3.60
<b>553</b>,<b><a href='https://tossinvest.com/stocks/BF-B/analytics'>BF-B</a></b>,Brown-Forman Corp,US,6,40.6%,5,38.6%,5,37.5%,6,40.5%,6,1.2%,Consumer Staples,Beverages,False,14.62,14.70B,<span style='color: green;'>1.08%</span>,<span style='color: red;'>-8.34%</span>,<span style='color: red;'>-24.07%</span>,<span style='color: red;'>-30.99%</span>,<span style='color: red;'>-46.47%</span>,<span style='color: red;'>-18.43%</span>,28.05%,2.87%,16.47%,-49.19%,1.64%,2.98M,0.73
<b>554</b>,<b><a href='https://tossinvest.com/stocks/BF-A/analytics'>BF-A</a></b>,Brown-Forman Corp,US,6,40.6%,5,38.6%,5,37.5%,6,40.5%,6,1.2%,Consumer Staples,Beverages,False,14.78,14.70B,<span style='color: green;'>1.36%</span>,<span style='color: red;'>-6.76%</span>,<span style='color: red;'>-21.64%</span>,<span style='color: red;'>-30.97%</span>,<span style='color: red;'>-46.94%</span>,<span style='color: red;'>-16.90%</span>,28.05%,2.84%,16.47%,-48.93%,1.62%,140.94K,0.73
<b>555</b>,<b><a href='https://tossinvest.com/stocks/FICO/analytics'>FICO</a></b>,Fair Isaac Corp,US,6,40.6%,6,39.7%,5,39.0%,9,45.9%,5,1.3%,Information Technology,Software,False,79.19,42.13B,<span style='color: red;'>-2.37%</span>,<span style='color: red;'>-8.90%</span>,<span style='color: red;'>-23.68%</span>,<span style='color: red;'>-1.61%</span>,<span style='color: green;'>34.59%</span>,<span style='color: red;'>-13.33%</span>,,,42.23%,-28.18%,56.07%,194.11K,1.41
<b>556</b>,<b><a href='https://tossinvest.com/stocks/INFY/analytics'>INFY</a></b>,Infosys Ltd ADR,IN,6,40.6%,7,41.0%,7,41.3%,7,41.2%,6,1.2%,Information Technology,IT Services,False,26.79,88.65B,<span style='color: red;'>-1.84%</span>,<span style='color: green;'>0.95%</span>,<span style='color: red;'>-0.84%</span>,<span style='color: red;'>-2.99%</span>,<span style='color: green;'>7.61%</span>,<span style='color: red;'>-2.60%</span>,33.16%,2.71%,30.11%,-9.65%,33.86%,8.18M,0.99
<b>557</b>,<b><a href='https://tossinvest.com/stocks/BJ/analytics'>BJ</a></b>,BJ's Wholesale Club Holdings Inc,US,6,40.6%,5,39.3%,9,44.1%,6,39.9%,6,1.0%,Consumer Staples,Food & Staples Retailing,False,24.88,13.68B,<span style='color: red;'>-2.88%</span>,<span style='color: green;'>6.26%</span>,<span style='color: green;'>18.71%</span>,<span style='color: green;'>18.74%</span>,<span style='color: green;'>50.73%</span>,<span style='color: green;'>15.95%</span>,35.79%,,13.32%,-4.07%,51.55%,1.64M,0.28
<b>558</b>,<b><a href='https://tossinvest.com/stocks/GPC/analytics'>GPC</a></b>,Genuine Parts Co,US,6,40.6%,5,38.9%,5,39.5%,6,40.1%,5,1.8%,Consumer Discretionary,Distributors,False,19.06,17.14B,<span style='color: green;'>0.83%</span>,<span style='color: green;'>2.67%</span>,<span style='color: green;'>1.35%</span>,<span style='color: red;'>-9.72%</span>,<span style='color: red;'>-11.82%</span>,<span style='color: green;'>5.58%</span>,20.69%,3.34%,9.48%,-25.04%,9.34%,1.42M,0.96
<b>559</b>,<b><a href='https://tossinvest.com/stocks/DKS/analytics'>DKS</a></b>,"Dicks Sporting Goods, Inc",US,6,40.6%,6,40.5%,9,44.7%,6,39.8%,5,1.8%,Consumer Discretionary,Specialty Retail,False,16.54,18.86B,<span style='color: red;'>-3.93%</span>,<span style='color: red;'>-1.28%</span>,<span style='color: green;'>17.35%</span>,<span style='color: green;'>3.20%</span>,<span style='color: green;'>39.64%</span>,<span style='color: green;'>1.16%</span>,42.65%,1.91%,16.51%,-9.07%,40.04%,1.20M,1.54
<b>560</b>,<b><a href='https://tossinvest.com/stocks/DD/analytics'>DD</a></b>,DuPont de Nemours Inc,US,6,40.6%,5,39.1%,5,39.5%,7,41.8%,6,1.3%,Materials,Chemicals,False,49.61,34.64B,<span style='color: green;'>1.33%</span>,<span style='color: green;'>5.60%</span>,<span style='color: green;'>1.68%</span>,<span style='color: green;'>4.32%</span>,<span style='color: green;'>22.80%</span>,<span style='color: green;'>8.66%</span>,3.12%,1.91%,2.42%,-8.01%,22.38%,2.28M,1.30
<b>561</b>,<b><a href='https://tossinvest.com/stocks/TFII/analytics'>TFII</a></b>,TFI International Inc,CA,6,40.6%,6,40.6%,5,38.7%,5,39.3%,5,1.8%,Industrials,Road & Rail,False,20.46,8.59B,<span style='color: red;'>-21.88%</span>,<span style='color: red;'>-25.04%</span>,<span style='color: red;'>-29.36%</span>,<span style='color: red;'>-30.87%</span>,<span style='color: red;'>-29.87%</span>,<span style='color: red;'>-24.88%</span>,16.05%,1.64%,7.82%,-37.41%,-18.40%,220.71K,1.58
<b>562</b>,<b><a href='https://tossinvest.com/stocks/CNH/analytics'>CNH</a></b>,CNH Industrial NV,GB,6,40.6%,5,39.5%,6,40.4%,5,39.6%,5,1.4%,Industrials,Machinery,False,12.79,16.62B,<span style='color: green;'>6.23%</span>,<span style='color: green;'>4.72%</span>,<span style='color: green;'>22.11%</span>,<span style='color: green;'>33.63%</span>,<span style='color: green;'>14.02%</span>,<span style='color: green;'>17.48%</span>,16.59%,3.24%,3.80%,-1.26%,43.43%,12.34M,1.66
<b>563</b>,<b><a href='https://tossinvest.com/stocks/QCOM/analytics'>QCOM</a></b>,"Qualcomm, Inc",US,6,40.5%,7,41.1%,5,39.4%,9,43.8%,5,1.6%,Information Technology,Semiconductors & Semic...,False,18.56,192.11B,<span style='color: green;'>2.00%</span>,<span style='color: green;'>3.84%</span>,<span style='color: green;'>8.80%</span>,<span style='color: green;'>0.73%</span>,<span style='color: green;'>16.03%</span>,<span style='color: green;'>13.07%</span>,41.96%,2.05%,26.33%,-24.68%,16.66%,7.90M,1.28
<b>564</b>,<b><a href='https://tossinvest.com/stocks/H/analytics'>H</a></b>,Hyatt Hotels Corporation,US,6,40.5%,5,38.9%,6,40.3%,7,41.8%,5,1.3%,Consumer Discretionary,"Hotels, Restaurants & ...",False,11.72,14.02B,<span style='color: red;'>-10.09%</span>,<span style='color: red;'>-6.66%</span>,<span style='color: red;'>-4.69%</span>,<span style='color: red;'>-0.62%</span>,<span style='color: green;'>9.73%</span>,<span style='color: red;'>-7.15%</span>,36.45%,0.48%,18.21%,-13.34%,13.07%,615.20K,1.50
<b>565</b>,<b><a href='https://tossinvest.com/stocks/ROK/analytics'>ROK</a></b>,Rockwell Automation Inc,US,6,40.5%,5,39.6%,7,41.5%,6,40.0%,5,1.6%,Industrials,Electrical Equipment,False,37.73,34.28B,<span style='color: green;'>0.41%</span>,<span style='color: green;'>4.27%</span>,<span style='color: green;'>6.44%</span>,<span style='color: green;'>14.85%</span>,<span style='color: green;'>9.93%</span>,<span style='color: green;'>6.08%</span>,26.22%,1.72%,14.61%,-1.79%,24.86%,910.91K,1.39
<b>566</b>,<b><a href='https://tossinvest.com/stocks/AGI/analytics'>AGI</a></b>,Alamos Gold Inc,CA,6,40.5%,6,40.7%,6,40.7%,7,41.7%,6,1.3%,Materials,Metals & Mining,False,33.72,9.78B,<span style='color: green;'>1.79%</span>,<span style='color: green;'>16.88%</span>,<span style='color: green;'>32.84%</span>,<span style='color: green;'>19.15%</span>,<span style='color: green;'>100.08%</span>,<span style='color: green;'>26.19%</span>,8.74%,0.43%,7.37%,-0.21%,105.29%,2.23M,1.17
<b>567</b>,<b><a href='https://tossinvest.com/stocks/ENB/analytics'>ENB</a></b>,Enbridge Inc,CA,6,40.5%,5,37.9%,7,42.1%,5,39.3%,6,0.8%,Energy,"Oil, Gas & Consumable ...",False,24.43,91.48B,<span style='color: red;'>-6.92%</span>,<span style='color: red;'>-7.35%</span>,<span style='color: red;'>-0.47%</span>,<span style='color: green;'>9.61%</span>,<span style='color: green;'>29.06%</span>,<span style='color: red;'>-1.06%</span>,8.63%,6.34%,3.33%,-8.30%,27.77%,4.19M,0.90
<b>568</b>,<b><a href='https://tossinvest.com/stocks/KO/analytics'>KO</a></b>,Coca-Cola Co,US,6,40.5%,7,41.1%,5,38.1%,7,41.3%,7,0.6%,Consumer Staples,Beverages,False,28.46,301.72B,<span style='color: green;'>1.94%</span>,<span style='color: green;'>12.21%</span>,<span style='color: green;'>14.30%</span>,<span style='color: green;'>3.00%</span>,<span style='color: green;'>21.53%</span>,<span style='color: green;'>12.50%</span>,41.86%,2.87%,15.81%,-4.75%,20.90%,17.67M,0.60
<b>569</b>,<b><a href='https://tossinvest.com/stocks/PYPL/analytics'>PYPL</a></b>,PayPal Holdings Inc,US,6,40.5%,6,40.7%,8,42.6%,7,41.5%,5,1.9%,Information Technology,IT Services,False,19.42,76.79B,<span style='color: green;'>1.78%</span>,<span style='color: red;'>-13.52%</span>,<span style='color: red;'>-9.55%</span>,<span style='color: green;'>11.81%</span>,<span style='color: green;'>31.26%</span>,<span style='color: red;'>-9.05%</span>,20.00%,,13.40%,-17.12%,36.26%,9.80M,1.49
<b>570</b>,<b><a href='https://tossinvest.com/stocks/RVTY/analytics'>RVTY</a></b>,Revvity Inc,US,6,40.5%,6,40.3%,9,45.5%,8,43.0%,5,1.4%,Health Care,Life Sciences Tools & ...,False,48.70,13.96B,<span style='color: green;'>3.10%</span>,<span style='color: red;'>-7.45%</span>,<span style='color: green;'>4.75%</span>,<span style='color: red;'>-4.54%</span>,<span style='color: green;'>12.18%</span>,<span style='color: green;'>2.79%</span>,3.72%,0.23%,2.64%,-11.41%,17.89%,885.94K,1.05
<b>571</b>,<b><a href='https://tossinvest.com/stocks/MO/analytics'>MO</a></b>,Altria Group Inc,US,6,40.5%,7,41.3%,9,44.1%,5,39.4%,6,0.8%,Consumer Staples,Tobacco,False,8.29,92.08B,<span style='color: green;'>1.86%</span>,<span style='color: green;'>5.56%</span>,<span style='color: red;'>-2.86%</span>,<span style='color: green;'>7.95%</span>,<span style='color: green;'>44.15%</span>,<span style='color: green;'>3.90%</span>,,7.67%,53.10%,-6.38%,38.42%,7.58M,0.62
<b>572</b>,<b><a href='https://tossinvest.com/stocks/SEIC/analytics'>SEIC</a></b>,SEI Investments Co,US,6,40.5%,8,42.2%,9,44.8%,9,46.1%,6,0.8%,Financials,Capital Markets,False,18.61,10.60B,<span style='color: green;'>0.23%</span>,<span style='color: red;'>-1.99%</span>,<span style='color: green;'>2.51%</span>,<span style='color: green;'>22.78%</span>,<span style='color: green;'>25.74%</span>,<span style='color: red;'>-0.29%</span>,26.51%,1.22%,25.53%,-5.74%,31.84%,631.70K,0.93
<b>573</b>,<b><a href='https://tossinvest.com/stocks/ADBE/analytics'>ADBE</a></b>,Adobe Inc,US,6,40.5%,6,41.0%,8,43.2%,8,42.6%,5,1.7%,Information Technology,Software,False,36.64,197.93B,<span style='color: red;'>-1.74%</span>,<span style='color: green;'>4.20%</span>,<span style='color: red;'>-9.67%</span>,<span style='color: red;'>-19.26%</span>,<span style='color: red;'>-16.82%</span>,<span style='color: green;'>2.25%</span>,36.31%,,29.91%,-22.64%,12.62%,3.96M,1.38
<b>574</b>,<b><a href='https://tossinvest.com/stocks/APG/analytics'>APG</a></b>,APi Group Corporation,US,6,40.5%,7,42.1%,7,41.5%,7,41.8%,6,1.3%,Industrials,Construction & Enginee...,False,,11.50B,<span style='color: green;'>8.75%</span>,<span style='color: green;'>6.57%</span>,<span style='color: green;'>15.58%</span>,<span style='color: green;'>17.81%</span>,<span style='color: green;'>17.07%</span>,<span style='color: green;'>13.65%</span>,6.94%,,-7.52%,-0.02%,30.03%,1.24M,1.89
<b>575</b>,<b><a href='https://tossinvest.com/stocks/MAS/analytics'>MAS</a></b>,Masco Corp,US,6,40.5%,7,41.6%,9,45.1%,9,43.7%,6,0.9%,Industrials,Building Products,False,20.32,16.17B,<span style='color: red;'>-0.57%</span>,<span style='color: red;'>-3.04%</span>,<span style='color: red;'>-2.73%</span>,<span style='color: red;'>-0.28%</span>,<span style='color: green;'>5.90%</span>,<span style='color: green;'>5.11%</span>,,1.63%,28.47%,-12.02%,19.54%,1.40M,1.24
<b>576</b>,<b><a href='https://tossinvest.com/stocks/SNOW/analytics'>SNOW</a></b>,Snowflake Inc,US,6,40.5%,5,38.7%,5,37.9%,7,41.5%,4,2.4%,Information Technology,IT Services,False,,61.06B,<span style='color: red;'>-1.21%</span>,<span style='color: green;'>6.59%</span>,<span style='color: green;'>46.84%</span>,<span style='color: green;'>40.74%</span>,<span style='color: red;'>-19.69%</span>,<span style='color: green;'>19.78%</span>,-28.69%,,-20.55%,-21.51%,72.65%,6.77M,1.07
<b>577</b>,<b><a href='https://tossinvest.com/stocks/MRK/analytics'>MRK</a></b>,Merck & Co Inc,US,6,40.5%,6,40.9%,5,39.4%,6,40.2%,6,1.1%,Health Care,Pharmaceuticals,False,13.02,221.80B,<span style='color: green;'>2.35%</span>,<span style='color: red;'>-8.89%</span>,<span style='color: red;'>-8.22%</span>,<span style='color: red;'>-22.25%</span>,<span style='color: red;'>-29.51%</span>,<span style='color: red;'>-11.86%</span>,28.33%,3.72%,21.54%,-34.87%,8.19%,13.94M,0.35
<b>578</b>,<b><a href='https://tossinvest.com/stocks/COR/analytics'>COR</a></b>,Cencora Inc,US,6,40.5%,7,41.3%,9,44.2%,8,43.3%,7,0.7%,Health Care,Health Care Providers ...,False,34.64,47.21B,<span style='color: red;'>-0.05%</span>,<span style='color: red;'>-0.66%</span>,<span style='color: green;'>1.34%</span>,<span style='color: green;'>1.93%</span>,<span style='color: green;'>5.07%</span>,<span style='color: green;'>8.36%</span>,245.32%,0.80%,22.66%,-7.17%,13.36%,1.33M,0.50
<b>579</b>,<b><a href='https://tossinvest.com/stocks/RMD/analytics'>RMD</a></b>,Resmed Inc,US,6,40.5%,6,40.4%,9,44.8%,9,44.3%,5,1.9%,Health Care,Health Care Equipment ...,False,27.50,34.19B,<span style='color: red;'>-1.61%</span>,<span style='color: red;'>-6.05%</span>,<span style='color: red;'>-0.83%</span>,<span style='color: green;'>0.86%</span>,<span style='color: green;'>29.87%</span>,<span style='color: green;'>1.79%</span>,25.65%,0.96%,20.62%,-11.50%,36.49%,863.44K,0.74
<b>580</b>,<b><a href='https://tossinvest.com/stocks/AVY/analytics'>AVY</a></b>,Avery Dennison Corp,US,6,40.5%,6,40.6%,5,39.3%,6,40.1%,6,0.9%,Materials,Containers & Packaging,False,21.12,14.81B,<span style='color: green;'>1.70%</span>,<span style='color: red;'>-4.28%</span>,<span style='color: red;'>-6.81%</span>,<span style='color: red;'>-13.59%</span>,<span style='color: red;'>-11.76%</span>,<span style='color: red;'>-1.53%</span>,31.70%,1.95%,14.45%,-21.08%,3.11%,666.42K,0.86
<b>581</b>,<b><a href='https://tossinvest.com/stocks/ARES/analytics'>ARES</a></b>,Ares Management Corp,US,6,40.5%,6,39.8%,9,45.2%,9,45.1%,6,1.2%,Financials,Capital Markets,False,87.39,56.25B,<span style='color: red;'>-1.71%</span>,<span style='color: red;'>-7.72%</span>,<span style='color: green;'>7.46%</span>,<span style='color: green;'>24.28%</span>,<span style='color: green;'>33.13%</span>,<span style='color: green;'>1.50%</span>,22.70%,2.51%,2.54%,-10.37%,43.49%,1.08M,1.22
<b>582</b>,<b><a href='https://tossinvest.com/stocks/SATS/analytics'>SATS</a></b>,EchoStar Corp,US,6,40.5%,6,40.2%,9,44.3%,5,38.0%,4,2.9%,Communication Services,Diversified Telecommun...,False,,8.20B,<span style='color: green;'>4.58%</span>,<span style='color: green;'>8.76%</span>,<span style='color: green;'>32.38%</span>,<span style='color: green;'>70.26%</span>,<span style='color: green;'>119.10%</span>,<span style='color: green;'>31.75%</span>,-19.12%,,-4.98%,-1.24%,155.03%,1.61M,0.68
<b>583</b>,<b><a href='https://tossinvest.com/stocks/IX/analytics'>IX</a></b>,Orix Corporation ADR,JP,6,40.5%,7,41.0%,6,40.5%,7,41.5%,6,1.0%,Financials,Diversified Financial ...,False,8.86,22.12B,<span style='color: green;'>1.47%</span>,<span style='color: red;'>-4.06%</span>,<span style='color: red;'>-5.74%</span>,<span style='color: red;'>-14.32%</span>,<span style='color: green;'>0.75%</span>,<span style='color: red;'>-4.28%</span>,10.07%,4.25%,4.21%,-19.20%,12.27%,36.67K,0.98
<b>584</b>,<b><a href='https://tossinvest.com/stocks/AFL/analytics'>AFL</a></b>,Aflac Inc,US,6,40.5%,6,40.4%,9,44.8%,7,42.1%,6,1.0%,Financials,Insurance,False,10.86,57.93B,<span style='color: green;'>1.30%</span>,<span style='color: red;'>-1.98%</span>,<span style='color: red;'>-6.32%</span>,<span style='color: red;'>-0.88%</span>,<span style='color: green;'>31.37%</span>,<span style='color: green;'>0.81%</span>,16.04%,2.19%,16.62%,-9.71%,33.04%,1.91M,0.93
<b>585</b>,<b><a href='https://tossinvest.com/stocks/ACM/analytics'>ACM</a></b>,AECOM,US,6,40.4%,5,39.3%,6,39.9%,9,43.6%,6,0.9%,Industrials,Construction & Enginee...,False,28.36,13.23B,<span style='color: red;'>-3.94%</span>,<span style='color: red;'>-10.22%</span>,<span style='color: red;'>-6.76%</span>,<span style='color: green;'>2.13%</span>,<span style='color: green;'>11.78%</span>,<span style='color: red;'>-6.67%</span>,26.35%,0.65%,9.23%,-15.91%,21.25%,897.71K,1.21
<b>586</b>,<b><a href='https://tossinvest.com/stocks/BG/analytics'>BG</a></b>,Bunge Global SA,CH,6,40.4%,5,39.1%,5,39.5%,6,40.9%,6,1.2%,Consumer Staples,Food Products,False,8.82,9.95B,<span style='color: green;'>3.17%</span>,<span style='color: red;'>-9.37%</span>,<span style='color: red;'>-20.76%</span>,<span style='color: red;'>-25.41%</span>,<span style='color: red;'>-20.62%</span>,<span style='color: red;'>-8.36%</span>,10.43%,3.88%,7.00%,-37.99%,5.73%,1.64M,0.64
<b>587</b>,<b><a href='https://tossinvest.com/stocks/INGR/analytics'>INGR</a></b>,Ingredion Inc,US,6,40.4%,5,39.4%,5,39.0%,7,41.7%,6,0.9%,Consumer Staples,Food Products,False,13.02,8.23B,<span style='color: red;'>-1.25%</span>,<span style='color: red;'>-7.43%</span>,<span style='color: red;'>-10.27%</span>,<span style='color: red;'>-3.97%</span>,<span style='color: green;'>12.84%</span>,<span style='color: red;'>-8.14%</span>,17.48%,2.70%,11.45%,-18.71%,15.39%,520.98K,0.75
<b>588</b>,<b><a href='https://tossinvest.com/stocks/JKHY/analytics'>JKHY</a></b>,"Jack Henry & Associates, Inc",US,6,40.4%,6,40.1%,9,44.5%,9,43.7%,6,1.1%,Information Technology,IT Services,False,30.42,12.30B,<span style='color: red;'>-0.88%</span>,<span style='color: red;'>-3.46%</span>,<span style='color: red;'>-2.60%</span>,<span style='color: green;'>2.81%</span>,<span style='color: red;'>-2.19%</span>,<span style='color: red;'>-3.76%</span>,21.90%,1.31%,19.46%,-11.04%,7.45%,602.39K,0.66
<b>589</b>,<b><a href='https://tossinvest.com/stocks/DHR/analytics'>DHR</a></b>,Danaher Corp,US,6,40.4%,6,40.1%,5,39.0%,8,43.5%,5,1.4%,Health Care,Life Sciences Tools & ...,False,39.34,150.20B,<span style='color: green;'>2.85%</span>,<span style='color: red;'>-14.81%</span>,<span style='color: red;'>-9.78%</span>,<span style='color: red;'>-23.27%</span>,<span style='color: red;'>-16.56%</span>,<span style='color: red;'>-9.41%</span>,7.57%,0.58%,5.99%,-26.18%,5.67%,3.88M,0.81
<b>590</b>,<b><a href='https://tossinvest.com/stocks/WCC/analytics'>WCC</a></b>,"Wesco International, Inc",US,6,40.4%,6,39.8%,9,43.8%,9,45.3%,4,2.7%,Industrials,Trading Companies & Di...,False,14.76,9.42B,<span style='color: red;'>-0.16%</span>,<span style='color: red;'>-2.79%</span>,<span style='color: red;'>-5.30%</span>,<span style='color: green;'>22.08%</span>,<span style='color: green;'>33.79%</span>,<span style='color: green;'>6.66%</span>,14.37%,0.94%,6.59%,-10.71%,36.87%,657.93K,2.00
<b>591</b>,<b><a href='https://tossinvest.com/stocks/WYNN/analytics'>WYNN</a></b>,Wynn Resorts Ltd,US,6,40.4%,6,40.7%,5,38.8%,6,40.2%,5,1.3%,Consumer Discretionary,"Hotels, Restaurants & ...",False,21.89,9.95B,<span style='color: green;'>19.27%</span>,<span style='color: green;'>8.36%</span>,<span style='color: green;'>3.01%</span>,<span style='color: green;'>22.36%</span>,<span style='color: red;'>-10.32%</span>,<span style='color: green;'>8.48%</span>,,1.07%,4.19%,-15.32%,30.49%,2.41M,1.78
<b>592</b>,<b><a href='https://tossinvest.com/stocks/BEN/analytics'>BEN</a></b>,"Franklin Resources, Inc",US,6,40.4%,6,39.8%,5,39.1%,6,40.5%,5,1.3%,Financials,Capital Markets,False,31.79,10.89B,<span style='color: green;'>3.55%</span>,<span style='color: green;'>4.59%</span>,<span style='color: red;'>-4.34%</span>,<span style='color: red;'>-7.40%</span>,<span style='color: red;'>-20.86%</span>,<span style='color: green;'>2.17%</span>,2.76%,6.16%,1.35%,-27.54%,10.12%,4.20M,1.44
<b>593</b>,<b><a href='https://tossinvest.com/stocks/ITT/analytics'>ITT</a></b>,ITT Inc,US,6,40.4%,7,41.4%,9,44.7%,8,42.2%,6,1.1%,Industrials,Machinery,False,23.48,12.04B,<span style='color: green;'>1.79%</span>,<span style='color: red;'>-3.89%</span>,<span style='color: red;'>-3.09%</span>,<span style='color: green;'>9.58%</span>,<span style='color: green;'>19.54%</span>,<span style='color: green;'>3.51%</span>,19.60%,0.89%,16.89%,-8.22%,22.21%,353.05K,1.42
<b>594</b>,<b><a href='https://tossinvest.com/stocks/EOG/analytics'>EOG</a></b>,"EOG Resources, Inc",US,6,40.4%,5,39.5%,8,43.4%,6,40.4%,6,1.0%,Energy,"Oil, Gas & Consumable ...",False,10.92,76.31B,<span style='color: green;'>5.30%</span>,<span style='color: red;'>-0.27%</span>,<span style='color: green;'>0.82%</span>,<span style='color: green;'>6.55%</span>,<span style='color: green;'>21.99%</span>,<span style='color: green;'>10.68%</span>,24.91%,2.73%,21.43%,-2.86%,24.40%,3.01M,1.26
<b>595</b>,<b><a href='https://tossinvest.com/stocks/SUN/analytics'>SUN</a></b>,Sunoco LP,US,6,40.4%,6,39.7%,7,41.9%,6,39.9%,6,0.9%,Energy,"Oil, Gas & Consumable ...",False,8.76,8.84B,<span style='color: green;'>2.68%</span>,<span style='color: green;'>5.79%</span>,<span style='color: green;'>11.00%</span>,<span style='color: green;'>10.36%</span>,<span style='color: red;'>-2.72%</span>,<span style='color: green;'>12.56%</span>,28.38%,6.36%,5.95%,-10.77%,17.09%,500.60K,1.34
<b>596</b>,<b><a href='https://tossinvest.com/stocks/ULS/analytics'>ULS</a></b>,UL Solutions Inc,US,6,40.4%,6,39.8%,5,39.6%,8,42.9%,6,1.0%,,,False,33.24,10.81B,<span style='color: red;'>-3.21%</span>,<span style='color: green;'>1.50%</span>,<span style='color: green;'>8.34%</span>,<span style='color: green;'>1.33%</span>,-,<span style='color: green;'>8.28%</span>,41.14%,1.11%,18.34%,-8.81%,62.93%,557.83K,
<b>597</b>,<b><a href='https://tossinvest.com/stocks/APH/analytics'>APH</a></b>,Amphenol Corp,US,6,40.4%,7,41.0%,9,45.4%,7,41.3%,5,1.4%,Information Technology,"Electronic Equipment, ...",False,36.17,84.01B,<span style='color: red;'>-0.52%</span>,<span style='color: red;'>-4.61%</span>,<span style='color: red;'>-1.63%</span>,<span style='color: green;'>4.82%</span>,<span style='color: green;'>32.29%</span>,<span style='color: red;'>-0.12%</span>,26.73%,0.96%,14.64%,-12.62%,33.24%,6.83M,1.25
